label,s_index,topology,commit_class,structure,max_phi,at_ceiling,aligned
W1_S2_C1,2,worker_xor,w_centric,triadic,0.415037,False,True
W1_S2_C1,2,counterpart_xor,w_centric,triadic,2.000000,True,True
W1_S2_C1,2,symmetric_xor,w_centric,triadic,2.000000,True,True
W1_S4_C1,4,worker_xor,c_centric,triadic,2.000000,True,True
W1_S4_C1,4,counterpart_xor,c_centric,triadic,0.415037,False,True
W1_S4_C1,4,symmetric_xor,c_centric,triadic,2.000000,True,True
W1_S11_C1,11,worker_xor,c_centric,triadic,2.000000,True,True
W1_S11_C1,11,counterpart_xor,c_centric,triadic,0.415037,False,True
W1_S11_C1,11,symmetric_xor,c_centric,triadic,2.000000,True,True
W1_S13_C1,13,worker_xor,w_centric,triadic,0.415037,False,True
W1_S13_C1,13,counterpart_xor,w_centric,triadic,2.000000,True,True
W1_S13_C1,13,symmetric_xor,w_centric,triadic,2.000000,True,True
W2_S2_C2,2,worker_xor,w_centric,triadic,0.415037,False,True
W2_S2_C2,2,counterpart_xor,w_centric,triadic,2.000000,True,True
W2_S2_C2,2,symmetric_xor,w_centric,triadic,2.000000,True,True
W2_S4_C2,4,worker_xor,c_centric,triadic,2.000000,True,True
W2_S4_C2,4,counterpart_xor,c_centric,triadic,0.415037,False,True
W2_S4_C2,4,symmetric_xor,c_centric,triadic,2.000000,True,True
W2_S11_C2,11,worker_xor,c_centric,triadic,2.000000,True,True
W2_S11_C2,11,counterpart_xor,c_centric,triadic,0.415037,False,True
W2_S11_C2,11,symmetric_xor,c_centric,triadic,2.000000,True,True
W2_S13_C2,13,worker_xor,w_centric,triadic,0.415037,False,True
W2_S13_C2,13,counterpart_xor,w_centric,triadic,2.000000,True,True
W2_S13_C2,13,symmetric_xor,w_centric,triadic,2.000000,True,True
