site,cols,p,phi_mip,structure,mip_partition,major_complex,major_complex_phi,full_triad
S,1,0.0,2.0,triadic,"2 parts: {W,SC}","{W,S,C}",2.0,True
S,1,0.01,1.899374,triadic,"3 parts: {W,S,C}","{W,S,C}",1.899374,True
S,1,0.02,1.803831,triadic,"3 parts: {W,S,C}","{W,S,C}",1.803831,True
S,1,0.03,1.71305,triadic,"3 parts: {W,S,C}","{W,S,C}",1.71305,True
S,1,0.04,1.626733,triadic,"3 parts: {W,S,C}","{W,S,C}",1.626733,True
S,1,0.05,1.54461,triadic,"3 parts: {W,S,C}","{W,S,C}",1.54461,True
S,1,0.06,1.466428,triadic,"3 parts: {W,S,C}","{W,S,C}",1.466428,True
S,1,0.07,1.391956,triadic,"3 parts: {W,S,C}","{W,S,C}",1.391956,True
S,1,0.08,1.320978,triadic,"3 parts: {W,S,C}","{W,S,C}",1.320978,True
S,1,0.09,1.253295,triadic,"3 parts: {W,S,C}","{W,S,C}",1.253295,True
S,1,0.1,1.188722,triadic,"3 parts: {W,S,C}","{W,S,C}",1.188722,True
S,1,0.11,1.127087,triadic,"3 parts: {W,S,C}","{W,S,C}",1.127087,True
S,1,0.12,1.068232,triadic,"3 parts: {W,S,C}","{W,S,C}",1.068232,True
S,1,0.13,1.012006,triadic,"3 parts: {W,S,C}","{W,S,C}",1.012006,True
S,1,0.14,0.958272,triadic,"3 parts: {W,S,C}","{W,S,C}",0.958272,True
S,1,0.15,0.9069,triadic,"3 parts: {W,S,C}","{W,S,C}",0.9069,True
S,1,0.16,0.857769,triadic,"3 parts: {W,S,C}","{W,S,C}",0.857769,True
S,1,0.17,0.810768,triadic,"3 parts: {W,S,C}","{W,S,C}",0.810768,True
S,1,0.18,0.765789,triadic,"3 parts: {W,S,C}","{W,S,C}",0.765789,True
S,1,0.19,0.722735,triadic,"3 parts: {W,S,C}","{W,S,C}",0.722735,True
S,1,0.2,0.681511,triadic,"3 parts: {W,S,C}","{W,S,C}",0.681511,True
S,1,0.21,0.642033,triadic,"3 parts: {W,S,C}","{W,S,C}",0.642033,True
S,1,0.22,0.604217,triadic,"3 parts: {W,S,C}","{W,S,C}",0.604217,True
S,1,0.23,0.567987,triadic,"3 parts: {W,S,C}","{W,S,C}",0.567987,True
S,1,0.24,0.533271,triadic,"3 parts: {W,S,C}","{W,S,C}",0.533271,True
S,1,0.25,0.5,triadic,"3 parts: {W,S,C}","{W,S,C}",0.5,True
S,1,0.26,0.468111,triadic,"3 parts: {W,S,C}","{W,S,C}",0.468111,True
S,1,0.27,0.437544,triadic,"3 parts: {W,S,C}","{W,S,C}",0.437544,True
S,1,0.28,0.408241,triadic,"3 parts: {W,S,C}","{W,S,C}",0.408241,True
S,1,0.29,0.380149,triadic,"3 parts: {W,S,C}","{W,S,C}",0.380149,True
S,1,0.3,0.353218,triadic,"3 parts: {W,S,C}","{W,S,C}",0.353218,True
S,1,0.31,0.327398,triadic,"3 parts: {W,S,C}","{W,S,C}",0.327398,True
S,1,0.32,0.302646,triadic,"3 parts: {W,S,C}","{W,S,C}",0.302646,True
S,1,0.33,0.278918,triadic,"3 parts: {W,S,C}","{W,S,C}",0.278918,True
S,1,0.34,0.256173,triadic,"3 parts: {W,S,C}","{W,S,C}",0.256173,True
S,1,0.35,0.234374,triadic,"3 parts: {W,S,C}","{W,S,C}",0.234374,True
S,1,0.36,0.213483,triadic,"3 parts: {W,S,C}","{W,S,C}",0.213483,True
S,1,0.37,0.193467,triadic,"3 parts: {W,S,C}","{W,S,C}",0.193467,True
S,1,0.38,0.174292,triadic,"3 parts: {W,S,C}","{W,S,C}",0.174292,True
S,1,0.39,0.155928,triadic,"3 parts: {W,S,C}","{W,S,C}",0.155928,True
S,1,0.4,0.138346,triadic,"3 parts: {W,S,C}","{W,S,C}",0.138346,True
S,1,0.41,0.121517,triadic,"3 parts: {W,S,C}","{W,S,C}",0.121517,True
S,1,0.42,0.105415,triadic,"3 parts: {W,S,C}","{W,S,C}",0.105415,True
S,1,0.43,0.090014,triadic,"3 parts: {W,S,C}","{W,S,C}",0.090014,True
S,1,0.44,0.075292,triadic,"3 parts: {W,S,C}","{W,S,C}",0.075292,True
S,1,0.45,0.061225,triadic,"3 parts: {W,S,C}","{W,S,C}",0.061225,True
S,1,0.46,0.047791,triadic,"3 parts: {W,S,C}","{W,S,C}",0.047791,True
S,1,0.47,0.034971,triadic,"3 parts: {W,S,C}","{W,S,C}",0.034971,True
S,1,0.48,0.022745,triadic,"3 parts: {W,S,C}","{W,S,C}",0.022745,True
S,1,0.49,0.011093,triadic,"3 parts: {W,S,C}","{W,S,C}",0.011093,True
S,1,0.5,0.0,dyadic,(factors),(none),-1.0,False
W,0,0.0,2.0,triadic,"2 parts: {W,SC}","{W,S,C}",2.0,True
W,0,0.01,0.975645,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.02,0.951437,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.03,0.927375,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.04,0.903462,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.05,0.879699,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.06,0.856089,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.07,0.832631,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.08,0.809329,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.09,0.786184,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.1,0.763197,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.11,0.740371,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.12,0.717706,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
