form,n,p,phi_mip,raw_phi,structure,mip_partition,major_complex,major_complex_phi,full_set
parity,3,0.0,0.5,0.5,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.5,True
parity,3,0.01,0.487822713,0.487822713,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.487823,True
parity,3,0.02,0.475718291,0.475718291,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.475718,True
parity,3,0.03,0.463687476,0.463687476,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.463687,True
parity,3,0.04,0.451731029,0.451731029,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.451731,True
parity,3,0.05,0.439849724,0.439849724,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.43985,True
parity,3,0.06,0.428044351,0.428044351,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.428044,True
parity,3,0.07,0.416315719,0.416315719,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.416316,True
parity,3,0.08,0.404664652,0.404664652,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.404665,True
parity,3,0.09,0.393091995,0.393091995,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.393092,True
parity,3,0.1,0.381598608,0.381598608,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.381599,True
parity,3,0.11,0.370185372,0.370185372,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.370185,True
parity,3,0.12,0.358853189,0.358853189,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.358853,True
parity,3,0.13,0.347602978,0.347602978,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.347603,True
parity,3,0.14,0.336435683,0.336435683,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.336436,True
parity,3,0.15,0.325352267,0.325352267,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.325352,True
parity,3,0.16,0.314353718,0.314353718,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.314354,True
parity,3,0.17,0.303441045,0.303441045,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.303441,True
parity,3,0.18,0.292615284,0.292615284,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.292615,True
parity,3,0.19,0.281877494,0.281877494,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.281877,True
parity,3,0.2,0.271228762,0.271228762,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.271229,True
parity,3,0.21,0.260670201,0.260670201,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.26067,True
parity,3,0.22,0.250202951,0.250202951,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.250203,True
parity,3,0.23,0.239828185,0.239828185,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.239828,True
parity,3,0.24,0.229547103,0.229547103,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.229547,True
parity,3,0.25,0.219360938,0.219360938,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.219361,True
parity,3,0.26,0.209270955,0.209270955,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.209271,True
parity,3,0.27,0.199278455,0.199278455,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.199278,True
parity,3,0.28,0.189384772,0.189384772,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.189385,True
parity,3,0.29,0.17959128,0.17959128,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.179591,True
parity,3,0.3,0.16989939,0.16989939,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.169899,True
