label,topology,cut_ones_tied,cut_ones_excl,adj_tied,adj_excl,adj_equal
W1_S2_C1,counterpart_xor,4,2,3,1,False
W1_S2_C1,worker_xnor,4,2,3,1,False
W1_S4_C1,worker_xor,4,2,3,1,False
W1_S4_C1,counterpart_xnor,4,2,3,1,False
W1_S11_C1,worker_xor,4,2,3,1,False
W1_S11_C1,counterpart_xnor,4,2,3,1,False
W1_S13_C1,counterpart_xor,4,2,3,1,False
W1_S13_C1,worker_xnor,4,2,3,1,False
W2_S2_C2,counterpart_xor,4,2,3,1,False
W2_S2_C2,worker_xnor,4,2,3,1,False
W2_S4_C2,worker_xor,4,2,3,1,False
W2_S4_C2,counterpart_xnor,4,2,3,1,False
W2_S11_C2,worker_xor,4,2,3,1,False
W2_S11_C2,counterpart_xnor,4,2,3,1,False
W2_S13_C2,counterpart_xor,4,2,3,1,False
W2_S13_C2,worker_xnor,4,2,3,1,False
