label,topology,cross_edge,in_tied,in_excl,both
W1_S2_C1,counterpart_xor,W->C,True,True,True
W1_S2_C1,worker_xnor,C->W,True,True,True
W1_S4_C1,worker_xor,C->W,True,True,True
W1_S4_C1,counterpart_xnor,W->C,True,True,True
W1_S11_C1,worker_xor,C->W,True,True,True
W1_S11_C1,counterpart_xnor,W->C,True,True,True
W1_S13_C1,counterpart_xor,W->C,True,True,True
W1_S13_C1,worker_xnor,C->W,True,True,True
W2_S2_C2,counterpart_xor,W->C,True,True,True
W2_S2_C2,worker_xnor,C->W,True,True,True
W2_S4_C2,worker_xor,C->W,True,True,True
W2_S4_C2,counterpart_xnor,W->C,True,True,True
W2_S11_C2,worker_xor,C->W,True,True,True
W2_S11_C2,counterpart_xnor,W->C,True,True,True
W2_S13_C2,counterpart_xor,W->C,True,True,True
W2_S13_C2,worker_xnor,C->W,True,True,True
