name,role,note,structure,whole_phi,core,n_core,phi,in_commit,reads,H_in_core,AI_in_core
stamp_posthoc,stamp,H'=S; S'=AI∧C (post-hoc approve),dyadic,0.0,AI|S|C,3,2.0,False,True,False,True
stamp_idle,stamp,H idle; S'=AI∧C,dyadic,0.0,AI|S|C,3,2.0,False,False,False,True
stamp_sticky,stamp,H sticky-approve; S'=AI∧C,dyadic,0.0,AI|S|C,3,2.0,False,True,False,True
observer,stamp,H observes S; not in commit,dyadic,0.0,S|C,2,2.0,False,True,False,False
veto_only,partial,S'=H∧AI∧C; H self (no read),dyadic,0.0,AI|S|C,3,2.0,True,False,False,True
nocommit_read,partial,H reads S; not in commit,dyadic,0.0,AI|S|C,3,2.0,False,True,False,True
veto_responsive,commit_read,S'=H∧AI∧C; H'=S,triadic,3.0,H|AI|S|C,4,3.0,True,True,True,True
full_joint,commit_read,same COMMIT_READ wiring (alias),triadic,3.0,H|AI|S|C,4,3.0,True,True,True,True
override_force,override,S'=H (human forces),dyadic,0.0,H|S,2,2.0,True,True,True,False
override_OR,override,S'=H ∨ (AI∧C),dyadic,0.0,H|S,2,2.0,True,True,True,False
advice_into_AI,advice,AI'=H; S'=AI∧C; H'=S,triadic,2.0,S|C,2,2.0,False,True,False,False
advice_ignored,advice,AI ignores H; S'=AI∧C,dyadic,0.0,S|C,2,2.0,False,True,False,False
H_or_AI_and_C,nonpivotal,S'=(H∨AI)∧C — substitutable,dyadic,0.0,S|C,2,2.0,True,True,False,False
bdy_C_R,boundary,2x2,triadic,3.0,H|AI|S|C,4,3.0,True,True,True,True
bdy_C_nR,boundary,2x2,dyadic,0.0,AI|S|C,3,2.0,True,False,False,True
bdy_nC_R,boundary,2x2,dyadic,0.0,AI|S|C,3,2.0,False,True,False,True
bdy_nC_nR,boundary,2x2,dyadic,0.0,AI|S|C,3,2.0,False,False,False,True
